#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
131,DRC,"92,173",0,"1,390",0,"50,930",0,"39,853",0,968,15,"846,704","8,890","95,242,523",Africa,"1,033","68,520",112,0,0,418
40,Denmark,"3,067,138",0,"6,700",0,"3,043,190",0,"17,248",17,"525,668","1,148","128,003,663","21,938,165","5,834,748",Europe,2,871,0,0,0,"2,956"
222,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Djibouti,"15,690",0,189,0,"15,427",0,74,0,"15,413",186,"305,941","300,538","1,017,977",Africa,65,"5,386",3,0,0,73
186,Dominica,"14,852",0,68,0,"14,554",0,230,0,"205,254",940,"210,195","2,904,891","72,359",North America,5,"1,064",0,0,0,"3,179"
82,Dominican Republic,"631,040",0,"4,383",0,"625,024",0,"1,633",17,"56,979",396,"3,597,292","324,816","11,074,864",North America,18,"2,527",3,0,0,147
71,Ecuador,"975,234",0,"35,811",0,"904,368",0,"35,055",759,"53,578","1,967","2,470,170","135,709","18,202,020",South America,19,508,7,0,0,"1,926"
89,Egypt,"515,645",0,"24,613",0,"442,182",0,"48,850",122,"4,848",231,"3,693,367","34,725","106,361,471",Africa,206,"4,321",29,0,0,459
115,El Salvador,"190,818",0,"4,206",0,"172,310",0,"14,302",8,"29,113",642,"2,456,913","374,845","6,554,475",North America,34,"1,558",3,0,0,"2,182"
183,Equatorial Guinea,"16,741",0,183,0,"16,459",0,99,5,"11,167",122,"358,620","239,214","1,499,158",Africa,90,"8,192",4,0,0,66
197,Eritrea,"10,095",0,103,0,"9,870",0,122,0,"2,767",28,"23,693","6,493","3,648,828",Africa,361,"35,426",154,0,0,33
85,Estonia,"591,058",0,"2,628",0,"524,990",0,"63,440",4,"444,941","1,978","3,468,756","2,611,236","1,328,396",Europe,2,505,0,0,0,"47,757"
138,Eswatini,"73,294",0,"1,417",0,"71,842",0,35,11,"61,840","1,196","1,041,330","878,593","1,185,225",Africa,16,836,1,0,0,30
91,Ethiopia,"492,412",0,"7,569",0,"470,440",0,"14,403",20,"4,073",63,"5,151,378","42,607","120,905,038",Africa,246,"15,974",23,0,0,119
0,Europe,"216,841,987","+24,229","1,881,944",+59,"207,523,224","+186,455","7,436,819","9,263",0,0,0,0,0,Europe,0,0,0,0,0,0
163,Faeroe Islands,"34,658",0,28,0,N/A,N/A,N/A,5,"703,716",569,"778,000","15,796,954","49,250",Europe,1,"1,759",0,0,0,"546,944"
218,Falkland Islands,"1,835",0,0,0,N/A,N/A,N/A,0,"497,155",0,"8,632","2,338,662","3,691",South America,2,0,0,0,0,"463,560"
141,Fiji,"67,805",0,874,0,"65,732",0,"1,199",0,"74,511",960,"613,582","674,269","909,996",Australia/Oceania,13,"1,041",1,0,0,"1,318"
57,Finland,"1,218,216",0,"5,251",0,"1,160,081","+6,608","52,884",21,"219,156",945,"11,237,850","2,021,679","5,558,672",Europe,5,"1,059",0,0,0,"9,514"
3,France,"33,993,930",0,"152,457",0,"32,666,444",0,"1,175,029",869,"518,400","2,325","271,490,188","4,140,162","65,574,769",Europe,2,430,0,0,0,"17,919"
130,French Guiana,"92,989",0,407,0,"11,254",0,"81,328",3,"295,358","1,293","650,106","2,064,910","314,835",South America,3,774,0,0,0,"258,319"
137,French Polynesia,"75,654",0,649,0,N/A,N/A,N/A,7,"266,111","2,283",0,0,"284,295",Australia/Oceania,4,438,0,0,0,"145,993"
149,Gabon,"48,511",0,306,0,"47,693",0,512,0,"20,773",131,"1,609,218","689,081","2,335,309",Africa,48,"7,632",1,0,0,219
190,Gambia,"12,149",0,368,0,"11,591",0,190,0,"4,749",144,"155,686","60,855","2,558,324",Africa,211,"6,952",16,0,0,74
49,Georgia,"1,698,020",0,"16,869",0,"1,637,293",0,"43,858",0,"427,368","4,246","16,920,079","4,258,553","3,973,199",Asia,2,236,0,0,0,"11,038"
5,Germany,"31,178,705",0,"144,717",0,"29,455,400","+89,900","1,578,588","1,445","369,667","1,716","122,332,384","1,450,420","84,342,745",Europe,3,583,1,0,0,"18,716"
122,Ghana,"168,127",0,"1,457",0,"166,507",0,163,2,"5,185",45,"2,490,032","76,791","32,426,229",Africa,193,"22,255",13,0,0,5
175,Gibraltar,"19,999",0,106,0,"16,579",0,"3,314",0,"593,971","3,148","534,283","15,868,221","33,670",Europe,2,318,0,0,0,"98,426"
30,Greece,"4,474,616",0,"31,377",0,"4,298,606","+19,440","144,633",115,"433,717","3,041","89,320,544","8,657,688","10,316,905",Europe,2,329,0,0,0,"14,019"
